SEARCHVAL,BLK_NO,ROAD_NAME,BUILDING,ADDRESS,POSTAL,X,Y,LATITUDE,LONGITUDE
WOODLANDS NORTH MRT STATION (TE1),20,WOODLANDS NORTH COAST ROAD,WOODLANDS NORTH MRT STATION (TE1),20 WOODLANDS NORTH COAST ROAD WOODLANDS NORTH MRT STATION (TE1) SINGAPORE 737668,737668,22699.9912448721,47770.3945726696,1.44829245259621,103.785692682441
WOODLANDS MRT STATION (TE2),11,WOODLANDS SQUARE,WOODLANDS MRT STATION (TE2),11 WOODLANDS SQUARE WOODLANDS MRT STATION (TE2) SINGAPORE 737736,737736,22949.9191319831,46417.5223346148,1.43605761708128,103.787938777173
WOODLANDS SOUTH MRT STATION (TE3),30,WOODLANDS DRIVE 17,WOODLANDS SOUTH MRT STATION (TE3),30 WOODLANDS DRIVE 17 WOODLANDS SOUTH MRT STATION (TE3) SINGAPORE 737741,737741,23542.5545697259,45459.758821588,1.42739605281442,103.79326432221
SPRINGLEAF MRT STATION (TE4),825,UPPER THOMSON ROAD,SPRINGLEAF MRT STATION (TE4),825 UPPER THOMSON ROAD SPRINGLEAF MRT STATION (TE4) SINGAPORE 787140,787140,26279.3279363979,42162.9344399534,1.39758106126824,103.817856949947
LENTOR MRT STATION (TE5),1,LENTOR DRIVE,LENTOR MRT STATION (TE5),1 LENTOR DRIVE LENTOR MRT STATION (TE5) SINGAPORE 789361,789361,28269.897072956,40827.7939434573,1.38550657972169,103.835743809669
MAYFLOWER MRT STATION (TE6),91,ANG MO KIO AVENUE 4,MAYFLOWER MRT STATION (TE6),91 ANG MO KIO AVENUE 4 MAYFLOWER MRT STATION (TE6) SINGAPORE 569900,569900,28361.5950495424,39274.947190579,1.37146318831015,103.836567766945
BRIGHT HILL MRT STATION (TE7),100,SIN MING AVENUE,BRIGHT HILL MRT STATION (TE7),100 SIN MING AVENUE BRIGHT HILL MRT STATION (TE7) SINGAPORE 575737,575737,27952.7070973367,38370.443887597,1.36328318545185,103.832893619992
UPPER THOMSON MRT STATION (TE8),1,JALAN KELI,UPPER THOMSON MRT STATION (TE8),1 JALAN KELI UPPER THOMSON MRT STATION (TE8) SINGAPORE 577937,577937,27953.2465030747,37390.003691975,1.35441643365401,103.832898468504
CALDECOTT MRT STATION (TE9),1,TOA PAYOH LINK,CALDECOTT MRT STATION (TE9),1 TOA PAYOH LINK CALDECOTT MRT STATION (TE9) SINGAPORE 297608,297608,28761.5758000361,35491.3431366347,1.33724561271722,103.840161782075
STEVENS MRT STATION (TE11),82,STEVENS ROAD,STEVENS MRT STATION (TE11),82 STEVENS ROAD STEVENS MRT STATION (TE11) SINGAPORE 257879,257879,27137.3215161348,33510.8105305303,1.31933437435349,103.825566965234
NAPIER MRT STATION (TE12),2,NAPIER ROAD,NAPIER MRT STATION (TE12),2 NAPIER ROAD NAPIER MRT STATION (TE12) SINGAPORE 258511,258511,26401.666707457,32122.8625724912,1.30678223364785,103.818956796815
ORCHARD BOULEVARD MRT STATION (TE13),20,ORCHARD BOULEVARD,ORCHARD BOULEVARD MRT STATION (TE13),20 ORCHARD BOULEVARD ORCHARD BOULEVARD MRT STATION (TE13) SINGAPORE 248654,248654,26948.2945375377,31640.7552477568,1.30242224836722,103.823868523249
ORCHARD MRT STATION (TE14),301,ORCHARD BOULEVARD,ORCHARD MRT STATION (TE14),301 ORCHARD BOULEVARD ORCHARD MRT STATION (TE14) SINGAPORE 237974,237974,27783.6973352153,31709.5324909948,1.30304426265194,103.831375000068
GREAT WORLD MRT STATION (TE15),351,RIVER VALLEY ROAD,GREAT WORLD MRT STATION (TE15),351 RIVER VALLEY ROAD GREAT WORLD MRT STATION (TE15) SINGAPORE 238384,238384,28044.7678659763,30703.7324468214,1.29394816169384,103.833720837731
HAVELOCK MRT STATION (TE16),110,ZION ROAD,HAVELOCK MRT STATION (TE16),110 ZION ROAD HAVELOCK MRT STATION (TE16) SINGAPORE 168604,168604,28029.7436560951,30101.8822241165,1.28850523975311,103.833585838226
OUTRAM PARK MRT STATION (TE17),13,OUTRAM ROAD,OUTRAM PARK MRT STATION (TE17),13 OUTRAM ROAD OUTRAM PARK MRT STATION (TE17) SINGAPORE 169080,169080,28647.6048249509,29308.4426563848,1.28132964411173,103.839137557749
MAXWELL MRT STATION (TE18),321,SOUTH BRIDGE ROAD,MAXWELL MRT STATION (TE18),321 SOUTH BRIDGE ROAD MAXWELL MRT STATION (TE18) SINGAPORE 058841,058841,29175.8088360233,29220.3885515537,1.28053329842878,103.843883670633
SHENTON WAY MRT STATION (TE19),2,PARK STREET,SHENTON WAY MRT STATION (TE19),2 PARK STREET SHENTON WAY MRT STATION (TE19) SINGAPORE 018928,018928,29897.4191489154,28908.9617211055,1.2777168283425,103.850367596067
MARINA BAY MRT STATION (TE20),25,PARK STREET,MARINA BAY MRT STATION (TE20),25 PARK STREET MARINA BAY MRT STATION (TE20) SINGAPORE 018929,018929,30447.3793931995,28579.995138919,1.27474173226842,103.855309167928
GARDENS BY THE BAY MRT STATION (TE22),11,MARINA MALL,GARDENS BY THE BAY MRT STATION (TE22),11 MARINA MALL GARDENS BY THE BAY MRT STATION (TE22) SINGAPORE 019396,019396,31799.0721787345,28994.1708776113,1.27848725876303,103.867454664421
TANJONG RHU MRT STATION (TE23),2,TANJONG RHU PLACE,TANJONG RHU MRT STATION (TE23),2 TANJONG RHU PLACE TANJONG RHU MRT STATION (TE23) SINGAPORE 436488,436488,32466.6345270379,31070.5354917869,1.29726507940646,103.873453254621
KATONG PARK MRT STATION (TE24),45,MEYER ROAD,KATONG PARK MRT STATION (TE24),45 MEYER ROAD KATONG PARK MRT STATION (TE24) SINGAPORE 437870,437870,33882.890949796,31133.1909445133,1.29783147778951,103.886178949925
TANJONG KATONG MRT STATION (TE25),2,AMBER ROAD,TANJONG KATONG MRT STATION (TE25),2 AMBER ROAD TANJONG KATONG MRT STATION (TE25) SINGAPORE 439846,439846,35128.2119915774,31297.7308518719,1.29931925769899,103.897368742078
MARINE PARADE MRT STATION (TE26),101,MARINE PARADE ROAD,MARINE PARADE MRT STATION (TE26),101 MARINE PARADE ROAD MARINE PARADE MRT STATION (TE26) SINGAPORE 449971,449971,35975.6107479017,31661.8079924919,1.30261163483383,103.904983086812
MARINE TERRACE MRT STATION (TE27),304,MARINE PARADE ROAD,MARINE TERRACE MRT STATION (TE27),304 MARINE PARADE ROAD MARINE TERRACE MRT STATION (TE27) SINGAPORE 449970,449970,37102.263435401,32110.0544330366,1.30666510344814,103.9151067005
SIGLAP MRT STATION (TE28),1000,MARINE PARADE ROAD,SIGLAP MRT STATION (TE28),1000 MARINE PARADE ROAD SIGLAP MRT STATION (TE28) SINGAPORE 449969,449969,38762.6117753303,32479.831004722,1.31000869432289,103.930025826708
BAYSHORE MRT STATION (TE29),31,BAYSHORE ROAD,BAYSHORE MRT STATION (TE29),31 BAYSHORE ROAD BAYSHORE MRT STATION (TE29) SINGAPORE 469958,469958,40129.6870528692,32824.1944562085,1.31312248291264,103.942309776767
BEDOK SOUTH MRT STATION (TE30),620,UPPER EAST COAST ROAD,BEDOK SOUTH MRT STATION (TE30),620 UPPER EAST COAST ROAD BEDOK SOUTH MRT STATION (TE30) SINGAPORE 468324,468324,40908.8629240785,33218.045304371,1.31668400658419,103.94931120983
SUNGEI BEDOK MRT STATION (TE31 / DT37),3,BEDOK ROAD,SUNGEI BEDOK MRT STATION (TE31 / DT37),3 BEDOK ROAD SUNGEI BEDOK MRT STATION (TE31 / DT37) SINGAPORE 469731,469731,41784.9899015203,33629.1483281609,1.32040148729112,103.957183823478
BUKIT PANJANG MRT STATION (DT1),950,UPPER BUKIT TIMAH ROAD,BUKIT PANJANG MRT STATION (DT1),950 UPPER BUKIT TIMAH ROAD BUKIT PANJANG MRT STATION (DT1) SINGAPORE 678213,678213,20011.3981217332,40108.6837660205,1.37900211641036,103.761535114929
CASHEW MRT STATION (DT2),1,CASHEW ROAD,CASHEW MRT STATION (DT2),1 CASHEW ROAD CASHEW MRT STATION (DT2) SINGAPORE 679696,679696,20334.5589111606,39092.8585418891,1.36981544925552,103.76443921414
HILLVIEW MRT STATION (DT3),510,UPPER BUKIT TIMAH ROAD,HILLVIEW MRT STATION (DT3),510 UPPER BUKIT TIMAH ROAD HILLVIEW MRT STATION (DT3) SINGAPORE 678211,678211,20666.0675499607,38266.7898455672,1.36234486803558,103.767418254007
HUME MRT STATION (DT4),371,UPPER BUKIT TIMAH ROAD,HUME MRT STATION (DT4),371 UPPER BUKIT TIMAH ROAD HUME MRT STATION (DT4) SINGAPORE 589681,589681,20855.3014404941,37409.8791332152,1.3545953239503,103.769118851887
BEAUTY WORLD MRT STATION (DT5),101,UPPER BUKIT TIMAH ROAD,BEAUTY WORLD MRT STATION (DT5),101 UPPER BUKIT TIMAH ROAD BEAUTY WORLD MRT STATION (DT5) SINGAPORE 588216,588216,21598.1664763764,35931.2358860858,1.34122317558549,103.775794285083
KING ALBERT PARK MRT STATION (DT6),2,BLACKMORE DRIVE,KING ALBERT PARK MRT STATION (DT6),2 BLACKMORE DRIVE KING ALBERT PARK MRT STATION (DT6) SINGAPORE 599987,599987,22444.4895690959,35316.2479055841,1.33566161262214,103.783399113441
SIXTH AVENUE MRT STATION (DT7),777,BUKIT TIMAH ROAD,SIXTH AVENUE MRT STATION (DT7),777 BUKIT TIMAH ROAD SIXTH AVENUE MRT STATION (DT7) SINGAPORE 269784,269784,23947.7493738988,34785.0233010761,1.33085764536226,103.796906838288
TAN KAH KEE MRT STATION (DT8),651,BUKIT TIMAH ROAD,TAN KAH KEE MRT STATION (DT8),651 BUKIT TIMAH ROAD TAN KAH KEE MRT STATION (DT8) SINGAPORE 266268,266268,25155.6221095249,34198.8053115103,1.32555623519898,103.807760304729
BOTANIC GARDENS MRT STATION (DT9),491,BUKIT TIMAH ROAD,BOTANIC GARDENS MRT STATION (DT9),491 BUKIT TIMAH ROAD BOTANIC GARDENS MRT STATION (DT9) SINGAPORE 259777,259777,26074.1720875856,33859.5354773961,1.32248807089544,103.816013994259
STEVENS MRT STATION (DT10),92,STEVENS ROAD,STEVENS MRT STATION (DT10),92 STEVENS ROAD STEVENS MRT STATION (DT10) SINGAPORE 257877,257877,27188.2299643802,33591.6608552355,1.32006555750626,103.826024401924
NEWTON MRT STATION (DT11),235,BUKIT TIMAH ROAD,NEWTON MRT STATION (DT11),235 BUKIT TIMAH ROAD NEWTON MRT STATION (DT11) SINGAPORE 229901,229901,28489.236438402,32920.1726889089,1.31399286264569,103.837714613091
LITTLE INDIA MRT STATION (DT12),62,BUKIT TIMAH ROAD,LITTLE INDIA MRT STATION (DT12),62 BUKIT TIMAH ROAD LITTLE INDIA MRT STATION (DT12) SINGAPORE 229902,229902,29707.4618838392,32148.9626245815,1.30701826765224,103.848660935092
ROCHOR MRT STATION (DT13),11,ROCHOR CANAL ROAD,ROCHOR MRT STATION (DT13),11 ROCHOR CANAL ROAD ROCHOR MRT STATION (DT13) SINGAPORE 188505,188505,30164.7018503863,31798.8766778279,1.30385218527656,103.852769428884
BUGIS MRT STATION (DT14),191,ROCHOR ROAD,BUGIS MRT STATION (DT14),191 ROCHOR ROAD BUGIS MRT STATION (DT14) SINGAPORE 188476,188476,30649.548609254,31297.0167393312,1.29931350344582,103.857125959023
PROMENADE MRT STATION (DT15),10,TEMASEK AVENUE,PROMENADE MRT STATION (DT15),10 TEMASEK AVENUE PROMENADE MRT STATION (DT15) SINGAPORE 039194,039194,31068.6608139481,30586.9369543009,1.29289175383295,103.860891800025
DOWNTOWN MRT STATION (DT17),15,CENTRAL BOULEVARD,DOWNTOWN MRT STATION (DT17),15 CENTRAL BOULEVARD DOWNTOWN MRT STATION (DT17) SINGAPORE 018969,018969,30172.6688074525,29100.2087655049,1.27944638178916,103.852840829581
TELOK AYER MRT STATION (DT18),7,CROSS STREET,TELOK AYER MRT STATION (DT18),7 CROSS STREET TELOK AYER MRT STATION (DT18) SINGAPORE 048416,048416,29706.1259155739,29390.1953907572,1.28206894769394,103.848648781083
CHINATOWN MRT STATION (DT19),91,UPPER CROSS STREET,CHINATOWN MRT STATION (DT19),91 UPPER CROSS STREET CHINATOWN MRT STATION (DT19) SINGAPORE 058362,058362,29316.0490006926,29628.4789423887,1.28422391919085,103.845143798953
FORT CANNING MRT STATION (DT20),170,RIVER VALLEY ROAD,FORT CANNING MRT STATION (DT20),170 RIVER VALLEY ROAD FORT CANNING MRT STATION (DT20) SINGAPORE 179038,179038,29225.6276065866,30541.6087720692,1.29248194822996,103.844331362465
BENCOOLEN MRT STATION (DT21),31,BENCOOLEN STREET,BENCOOLEN MRT STATION (DT21),31 BENCOOLEN STREET BENCOOLEN MRT STATION (DT21) SINGAPORE 189658,189658,29895.8639496444,31253.3258734122,1.29891843369422,103.850353762717
JALAN BESAR MRT STATION (DT22),90,JALAN BESAR,JALAN BESAR MRT STATION (DT22),90 JALAN BESAR JALAN BESAR MRT STATION (DT22) SINGAPORE 208826,208826,30445.8529787809,31944.7496234626,1.3051713878069,103.855295713435
BENDEMEER MRT STATION (DT23),11,KALLANG BAHRU,BENDEMEER MRT STATION (DT23),11 KALLANG BAHRU BENDEMEER MRT STATION (DT23) SINGAPORE 339356,339356,31300.7676084097,32884.7709222045,1.31367252847691,103.862977620945
GEYLANG BAHRU MRT STATION (DT24),541,KALLANG BAHRU,GEYLANG BAHRU MRT STATION (DT24),541 KALLANG BAHRU GEYLANG BAHRU MRT STATION (DT24) SINGAPORE 339355,339355,32262.8612591857,33728.3126899004,1.32130110228321,103.871622627142
MATTAR MRT STATION (DT25),60,MERPATI ROAD,MATTAR MRT STATION (DT25),60 MERPATI ROAD MATTAR MRT STATION (DT25) SINGAPORE 379314,379314,33556.5834402461,34344.8585332558,1.32687671501334,103.883247509542
MACPHERSON MRT STATION (DT26),10,CIRCUIT LINK,MACPHERSON MRT STATION (DT26),10 CIRCUIT LINK MACPHERSON MRT STATION (DT26) SINGAPORE 378956,378956,34230.0104828067,34264.5435281098,1.32615024457361,103.889298600376
UBI MRT STATION (DT27),51,UBI AVENUE 2,UBI MRT STATION (DT27),51 UBI AVENUE 2 UBI MRT STATION (DT27) SINGAPORE 408899,408899,35334.8918333696,34687.4109907392,1.32997425973974,103.899226655439
KAKI BUKIT MRT STATION (DT28),30,KAKI BUKIT AVENUE 1,KAKI BUKIT MRT STATION (DT28),30 KAKI BUKIT AVENUE 1 KAKI BUKIT MRT STATION (DT28) SINGAPORE 415804,415804,36362.3782825153,35239.5522551257,1.33496735995428,103.908459338046
BEDOK NORTH MRT STATION (DT29),651,BEDOK NORTH ROAD,BEDOK NORTH MRT STATION (DT29),651 BEDOK NORTH ROAD BEDOK NORTH MRT STATION (DT29) SINGAPORE 479481,479481,37421.7438196167,35214.6803870108,1.33474211664091,103.91797832995
BEDOK RESERVOIR MRT STATION (DT30),371,BEDOK NORTH AVENUE 3,BEDOK RESERVOIR MRT STATION (DT30),371 BEDOK NORTH AVENUE 3 BEDOK RESERVOIR MRT STATION (DT30) SINGAPORE 469724,469724,39008.3131622663,35421.0408713054,1.33660782955099,103.932234623286
TAMPINES WEST MRT STATION (DT31),2,TAMPINES AVENUE 4,TAMPINES WEST MRT STATION (DT31),2 TAMPINES AVENUE 4 TAMPINES WEST MRT STATION (DT31) SINGAPORE 529683,529683,39698.5275852969,36406.0143331178,1.34551530560119,103.938436971222
TAMPINES MRT STATION (DT32),15,TAMPINES CENTRAL 1,TAMPINES MRT STATION (DT32),15 TAMPINES CENTRAL 1 TAMPINES MRT STATION (DT32) SINGAPORE 529544,529544,40207.3952279184,37471.4394600224,1.35515041120473,103.943009883131
TAMPINES EAST MRT STATION (DT33),20,TAMPINES AVENUE 7,TAMPINES EAST MRT STATION (DT33),20 TAMPINES AVENUE 7 TAMPINES EAST MRT STATION (DT33) SINGAPORE 529623,529623,41501.0748521937,37586.6177644413,1.35619148271544,103.9546344625
UPPER CHANGI MRT STATION (DT34),690,UPPER CHANGI ROAD EAST,UPPER CHANGI MRT STATION (DT34),690 UPPER CHANGI ROAD EAST UPPER CHANGI MRT STATION (DT34) SINGAPORE 485990,485990,42262.187971171,35988.6568845119,1.34173977444995,103.961472788634
EXPO MRT STATION (DT35),2,EXPO DRIVE,EXPO MRT STATION (DT35),2 EXPO DRIVE EXPO MRT STATION (DT35) SINGAPORE 485985,485985,42362.6034600167,35285.7083877847,1.33538252614956,103.962374747451
XILIN MRT STATION (DT36),301,XILIN AVENUE,XILIN MRT STATION (DT36),301 XILIN AVENUE XILIN MRT STATION (DT36) SINGAPORE 486800,486800,42643.9623781191,34569.6853025425,1.32890694938858,103.964902569595
