tp_code,centre_code,centre_name,organisation_code,organisation_description,service_model,centre_contact_no,centre_email_address,centre_address,postal_code,centre_website,infant_vacancy_current_month,infant_vacancy_next_month,infant_vacancy_third_month,infant_vacancy_fourth_month,infant_vacancy_fifth_month,infant_vacancy_sixth_month,infant_vacancy_seventh_month,pg_vacancy_current_month,pg_vacancy_next_month,pg_vacancy_third_month,pg_vacancy_fourth_month,pg_vacancy_fifth_month,pg_vacancy_sixth_month,pg_vacancy_seventh_month,n1_vacancy_current_month,n1_vacancy_next_month,n1_vacancy_third_month,n1_vacancy_fourth_month,n1_vacancy_fifth_month,n1_vacancy_sixth_month,n1_vacancy_seventh_month,n2_vacancy_current_month,n2_vacancy_next_month,n2_vacancy_third_month,n2_vacancy_fourth_month,n2_vacancy_fifth_month,n2_vacancy_sixth_month,n2_vacancy_seventh_month,k1_vacancy_current_month,k1_vacancy_next_month,k1_vacancy_third_month,k1_vacancy_fourth_month,k1_vacancy_fifth_month,k1_vacancy_sixth_month,k1_vacancy_seventh_month,k2_vacancy_current_month,k2_vacancy_next_month,k2_vacancy_third_month,k2_vacancy_fourth_month,k2_vacancy_fifth_month,k2_vacancy_sixth_month,k2_vacancy_seventh_month,food_offered,second_languages_offered,spark_certified,weekday_full_day,saturday,scheme_type,extended_operating_hours,provision_of_transport,government_subsidy,gst_regisration,last_updated,remarks
na,EB0003,E-BRIDGE PRE-SCHOOL PTE. LTD.,EB,E-Bridge Pre-school Pte. Ltd.,CC,64436563,178rivervale@e-bridge.edu.sg,"178A,RIVERVALE CRESCENT,#01-453,541178",541178,https://info.e-bridge.edu.sg/registration-of-interest,Full,Full,Full,Full,Full,Limited,Limited,Full,Full,Full,Full,Full,Limited,Limited,Full,Full,Full,Full,Full,Limited,Limited,Full,Full,Full,Full,Full,Limited,Limited,Full,Full,Full,Full,Full,Full,Limited,Full,Full,Full,Full,Full,Limited,Limited,No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources),Chinese|Malay|Tamil,Yes,07:00-19:00,07:00-14:00,Anchor Operator Scheme,No,No,Yes,Yes,14/2/2025,na
na,PT9056,LITTLE GREENHOUSE @ JW 502 PTE. LTD.,PT,Private Operators,CC,90031454,cici@global-eduhub.com,"502,JURONG WEST AVENUE 1,#02-813,640502",640502,www.littlegreenhouse.com.sg,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources),Chinese,Yes,07:00-19:00,na,na,No,No,Yes,No,11/2/2025,na
TP0038,EB0007,E-Bridge Pre-School Pte. Ltd.,EB,E-Bridge Pre-school Pte. Ltd.,CC,64447545,670edgefield@e-bridge.edu.sg,"670,EDGEFIELD PLAINS,MULTI STOREY CAR PARK,820670",820670,https://info.e-bridge.edu.sg/registration-of-interest,Full,Full,Limited,Limited,Limited,Available,Full,Available,Available,Available,Available,Available,Available,Full,Full,Limited,Limited,Limited,Limited,Limited,Full,Full,Limited,Limited,Limited,Limited,Limited,Full,Limited,Limited,Limited,Limited,Limited,Limited,Full,Limited,Limited,Limited,Limited,Limited,Limited,Full,No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources),Chinese|Malay,Yes,07:00-19:00,07:00-14:00,Anchor Operator Scheme,No,No,Yes,Yes,14/2/2025,na
na,ST0098,PCF SPARKLETOTS PRESCHOOL @ KOLAM AYER BLK 39 (EY),ST,PCF Sparkletots Preschool Limited,EYC-DS,62982284,KY.EY.39@pcf.org.sg,"39,BENDEMEER ROAD,#01-01,MULTI STOREY CAR PARK,330039",330039,www.pcf.org.sg/sparkletots/,Full,Full,Full,Full,Limited,Limited,Limited,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources),Chinese|Tamil,No,07:00-19:00,07:00-14:00,Anchor Operator Scheme,No,No,Yes,Yes,13/2/2025,na
na,PT9343,LITTLE TREASURES CHILDCARE @ WDLS CIRCLE PTE LTD,PT,Private Operators,CC,63691525,NATMAHA@GMAIL.COM,"749,WOODLANDS CIRCLE,#01-604,730749",730749,www.littletreasures.com.sg,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources),Chinese,No,07:00-19:00,07:00-14:00,na,No,No,Yes,No,13/2/2025,na
na,PT4520,TOTS TOWN PRESCHOOL @ SEMBAWANG,PT,Private Operators,CC,67532422,info@totstown.sg,"480,SEMBAWANG DRIVE,#01-455,750480",750480,WWW.TOTSTOWN.SG,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources),Chinese|Malay|Tamil|Others: Hindi,No,07:00-19:00,na,na,No,Yes,Yes,No,13/2/2025,na
na,EB0026,E-Bridge Pre-School Pte Ltd,EB,E-Bridge Pre-school Pte. Ltd.,CC,66109232,858tampines@e-bridge.edu.sg,"858E,TAMPINES WALK,#01-01,TAMPINES GREENSPRING,525858",525858,na,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Limited,Limited,Full,Full,Full,Full,Full,Limited,Limited,Full,Full,Full,Full,Full,Limited,Limited,Full,No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources),Chinese,No,07:00-19:00,na,Anchor Operator Scheme,No,No,Yes,Yes,13/2/2025,na
na,PT9536,MAPLE BEAR LEARNING PLACE PTE. LTD.,PT,Private Operators,CC,94779420,RUPALARORA@MAPLEBEAR.SG,"1,WEST COAST DRIVE,#01-57,NEWEST,128020",128020,www.maplebearwestcoast.org,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Available,Available,Available,Available,Available,Available,Full,Available,Available,Available,Available,Available,Available,Full,Available,Available,Available,Available,Available,Available,Full,Limited,Limited,Limited,Limited,Limited,Limited,Full,Available,Available,Available,Available,Available,Available,Full,No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources),Chinese,No,07:00-19:00,07:00-14:00,na,No,Yes,Yes,No,13/2/2025,na
na,PT9344,A STAR CHILDCARE PTE. LTD.,PT,Private Operators,CC,62662452,sncc@merculearning.com,"55,SERANGOON NORTH AVE 4,#01-08,S9,555859",555859,na,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Others,Chinese|Malay,No,07:00-19:00,07:00-14:00,na,No,Yes,Yes,No,13/2/2025,na
na,PT6360,MAPLE BEAR EDUCARE PTE LTD,PT,Private Operators,CC,83228067,gladysng@maplebear.sg,"243,PASIR PANJANG ROAD,118599",118599,na,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Full,Full,Full,Full,Full,Full,Full,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,No Pork No Lard with No Beef (from Non-Halal Sources),Chinese,No,07:00-19:00,07:00-14:00,na,No,Yes,Yes,Yes,13/2/2025,na
na,ST0130,PCF Sparkletots Preschool @ Tanjong Pagar-Tiong Bahru Blk 126 (CC),ST,PCF Sparkletots Preschool Limited,CC,67348682,TG.CC.126@pcf.org.sg,"126,KIM TIAN ROAD,#03-02,MULTI STOREY CAR PARK,160126",160126,na,Full,Full,Full,Full,Full,Full,Full,Available,Available,Available,Available,Available,Available,Available,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Full,Full,Full,Full,Full,Full,Full,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources),Chinese,Yes,07:00-19:00,07:00-14:00,Anchor Operator Scheme,No,No,Yes,Yes,13/2/2025,na
na,PT9833,House on the Hill Montessori Pre-School,PT,Private Operators,CC,65303955,hollandseclub@houseonthehill.com.sg,"22,CAMDEN PARK,HOLLANDSE CLUB,299814",299814,www.houseonthehill.com.sg,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Limited,Limited,Available,Available,Available,Available,Available,Limited,Limited,Available,Available,Available,Available,Available,Limited,Limited,Available,Available,Available,Available,No Pork No Lard with Beef (without Certification from MUIS but from Halal Sources),Chinese,No,07:00-19:00,na,na,No,No,Yes,Yes,13/2/2025,na
na,PT9666,MFC KINDERGARTEN,PT,Private Operators,KN,98176307,may.chan@montessori.edu.sg,"11,BROADRICK ROAD,439476",439476,www.montessori.edu.sg,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,na,Chinese|Others: Hindi,No,08:00-15:30,na,na,No,No,Yes,Yes,13/2/2025,na
na,KM0038,MOE Kindergarten @ Jurong West,KM,MOE Kindergarten,KN,96474301,mk_jurongwest@moe.edu.sg,"30,JURONG WEST STREET 61,JURONG WEST PRIMARY SCHOOL,648368",648368,https://www.jurongwestpri.moe.edu.sg/mk-at-jwps/mk/,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Available,Available,Available,Available,Available,Full,Full,Available,Available,Available,Available,Available,Full,Full,Others,Chinese|Malay|Tamil,No,07:00-19:00,na,na,No,No,Yes,Yes,13/2/2025,na
na,SK0021,Skool4Kidz Preschool,SK,Skool4Kidz Pte Ltd,CC,62802272,hgbs@skool4kidz.com.sg,"992B,BUANGKOK LINK,#01-181,BUANGKOK SQUARE,532992",532992,https://skool4kidz.com.sg/,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources),Chinese,Yes,07:00-19:00,07:00-14:00,Anchor Operator Scheme,No,No,Yes,Yes,12/2/2025,na
na,PT9908,Artemis Preskool @ Bukit Panjang,PT,Private Operators,CC,80865789,artemis.bpj@gmail.com,"256,BANGKIT ROAD,#02-73,BUKIT PANJANG NEIGHBOURHOOD CENTRE,670256",670256,https://artemispreskool.com/contact/,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources),Chinese|Malay|Tamil,No,07:00-19:00,na,na,No,No,Yes,Yes,12/2/2025,na
na,KM0040,MOE KINDERGARTEN @ JING SHAN,KM,MOE Kindergarten,KN,64566305,ellen_lim@schools.gov.sg,"5,ANG MO KIO STREET 52,JING SHAN PRIMARY SCHOOL,569228",569228,https://jingshanpri.moe.edu.sg/,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Available,Available,Available,Available,Available,Full,Full,Available,Available,Available,Available,Available,Full,Full,Others,Chinese|Malay|Tamil,No,07:00-19:00,na,na,No,No,Yes,Yes,12/2/2025,na
na,PT8140,LITTLE GREENHOUSE @ TAMPINES EAST PTE. LTD.,PT,Private Operators,CC,67822488,principal.TPE@littlegreenhouse.com.sg,"473,TAMPINES STREET 43,#01-90,520473",520473,www.littlegreenhouse.com.sg,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Available,Available,Available,Full,Full,Full,Full,Available,Available,Available,Full,Full,Full,Full,Available,Available,Available,Full,Full,Full,Full,Available,Available,Available,Full,Full,Full,Full,Available,Available,Available,Full,Full,Full,Full,No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources),Chinese,No,07:00-19:00,na,na,No,No,Yes,No,12/2/2025,na
na,PT9851,Serangoon Garden Methodist Preschool,PT,Private Operators,CC,67139151,kamy.ong@methodistpreschools.org,"202,SERANGOON GARDEN WAY,CHEN SU LAN METHODIST CHILDREN'S HOME,556057",556057,www.methodistpreschools.org,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,No Pork No Lard with No Beef (from Non-Halal Sources),Chinese,No,07:00-19:00,07:00-14:00,na,No,No,Yes,No,12/2/2025,na
na,PT9863,Ang Mo Kio Methodist Preschool,PT,Private Operators,KN,67056165,priscilla.low@methodistpreschools.org,"1,ANG MO KIO STREET 21,#01ANG MO KIO METHODIST CHURCH,569383",569383,https://methodistpreschools.org/,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Halal Food With No Beef (with Certification from MUIS),Chinese|Tamil,Yes,08:00-16:00,na,na,No,Yes,Yes,Yes,12/2/2025,na
na,PT9574,Hanis Montessori Kindergarten ( Choa Chu Kang ),PT,Private Operators,KN,87180550,choa_chu_kang@ehanis.com.sg,"707,CHOA CHU KANG STREET 53,#01-118,680707",680707,https://ehanis.com/,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Available,Available,Available,Available,Available,Full,Full,Available,Available,Available,Available,Available,Full,Full,Available,Available,Available,Available,Available,Full,Full,Available,Available,Available,Available,Available,Full,Full,na,Malay|Others: Arabic,No,08:00-17:30,na,na,No,Yes,Yes,Yes,12/2/2025,na
na,SK0032,Skool4Kidz Preschool,SK,Skool4Kidz Pte Ltd,CC,69788535,bbws@skool4kidz.com.sg,"432,BUKIT BATOK WEST AVENUE 8,#01-11,MULTI STOREY CAR PARK,650432",650432,https://skool4kidz.com.sg/,Available,Available,Available,Available,Available,Available,Limited,Available,Available,Available,Available,Available,Available,Limited,Available,Available,Available,Available,Available,Available,Limited,Available,Available,Available,Available,Available,Available,Limited,Available,Available,Available,Available,Available,Available,Limited,Available,Available,Available,Available,Available,Available,Limited,No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources),Chinese,No,07:00-19:00,07:00-14:00,Anchor Operator Scheme,No,No,Yes,Yes,12/2/2025,na
na,PT9050,LITTLE OXFORD @ BARTLEY PTE LTD,PT,Private Operators,CC,62882387,stephanie@littleoxford.com,"67,LORONG PENCHALAK,536290",536290,www.littleoxford.com,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Limited,Limited,Limited,Limited,Limited,Limited,Full,Limited,Limited,Limited,Limited,Limited,Limited,Full,Limited,Limited,Limited,Limited,Limited,Limited,Full,Limited,Limited,Limited,Limited,Limited,Limited,Full,Limited,Limited,Limited,Limited,Limited,Limited,Full,No Pork No Lard with No Beef (from Non-Halal Sources),Chinese,No,07:00-19:00,na,na,No,No,Yes,No,12/2/2025,na
na,PT8943,Little Kinder Montessori @ Westwood Pte. Ltd.,PT,Private Operators,CC,98808214,aileentanws@littlekindermontessori.com,"82,WESTWOOD CRESCENT,648782",648782,NA,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,No Pork No Lard with No Beef (from Non-Halal Sources),Chinese,No,07:00-19:00,07:00-14:00,na,No,No,Yes,No,12/2/2025,na
na,PT9400,Our Children's House Montessori Preschool,PT,Private Operators,CC,90059661,nabi.ochm@gmail.com,"60,FABER TERRACE,FABER HILLS,129040",129040,www.ourchildrenshouse.com.sg,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Available,Available,Available,Available,Available,Full,Full,Available,Available,Available,Available,Available,Full,Full,Available,Available,Available,Available,Available,Full,Full,Available,Available,Available,Available,Available,Full,Full,Available,Available,Limited,Limited,Limited,Full,Full,No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources),Chinese,No,07:00-19:00,na,na,No,No,Yes,No,12/2/2025,na
na,WP1109,THE LITTLE SKOOL-HOUSE INTERNATIONAL PTE LTD,WP,Workplace,CC,65665110,lshdni01@littleskoolhouse.com,"80,JURONG EAST STREET 21,#03-02,DEVAN NAIR INSTITUTE,609607",609607,https://www.littleskoolhouse.com/,Limited,Available,Available,Full,Full,Full,Full,Available,Available,Available,Full,Full,Full,Full,Limited,Limited,Limited,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Limited,Limited,Limited,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources),Chinese,Yes,07:00-19:00,na,na,No,No,Yes,Yes,12/2/2025,na
